sequencia;setor;maquina;manutencao.tipo;OS;situacao;data.prog.inicio;data.prog.fim;data.real.inicio;obs;data
133;EXTRUSAO;118;R-136 CALIBRACAO - GRAVIMETRICOS;4443;P;09/dez/24;09/12/2024 00:00;;;45635
134;EXTRUSAO;117;CALIBRACAO GRAVIMETRICO;3964;R;01/nov/24;01/11/2024 09:00;01/11/2024 08:00;;45597,3333
135;EXTRUSAO;117;R-136 CALIBRACAO - GRAVIMETRICOS;4658;P;23/dez/24;23/12/2024 00:02;;;45649,0006
136;EXTRUSAO;115;R-136 CALIBRACAO - GRAVIMETRICOS;4364;R;01/dez/24;01/12/2024 09:00;29/11/2024 00:01;;45627,3333
137;MANUTENCAO PREDIAL;9030;R-127 TROCA REFILE BEBEDOURO;;P;07/mar/25;07/03/2025 12:00;;;45723,5
138;EXTRUSAO;112;ANALISE DE VIBRACAO;4240;R;08/out/24;08/10/2024 12:00;15/11/2024 08:00;;45573,3333
139;EXTRUSAO;112;CALIBRACAO GRAVIMETRICO;4065;R;08/nov/24;08/11/2024 09:00;09/11/2024 19:00;;45604,3333
140;LAMINACAO;302;TERMOGRAFIA;4068;R;11/nov/24;11/11/2024 09:00;15/11/2024 08:00;;45607,3333
141;LAMINACAO;301;TERMOGRAFIA;4069;R;11/nov/24;11/11/2024 09:00;18/11/2024 08:00;;45607,3333
142;EXTRUSAO;112;R-136 CALIBRACAO - GRAVIMETRICOS;4141;P;02/dez/24;02/12/2024 00:00;;;45628
143;EXTRUSAO;112;R-109 INSPECAO ELETRICA - MONO;;P;10/jan/25;10/01/2025 17:00;;;45667,7083
144;EXTRUSAO;112;R-106 INSPECAO MECANICA - EXT MONO;;P;08/jan/25;08/01/2025 10:30;;;45665,4375
145;EXTRUSAO;108;R-113 TERMOGRAFIA - EXTRUSORA;4442;R;09/dez/24;09/12/2024 00:00;11/12/2024 00:00;;45635,0001
146;EXTRUSAO;116;R-113 TERMOGRAFIA - EXTRUSORA;4677;P;24/dez/24;24/12/2024 00:02;;;45650,0006
147;EXTRUSAO;115;R-113 TERMOGRAFIA - EXTRUSORA;;P;14/jan/25;14/01/2025 00:02;;;45671,0006
148;EXTRUSAO;112;R-113 TERMOGRAFIA - EXTRUSORA;4361;P;02/dez/24;02/12/2024 00:02;;;45628,0006
150;EXTRUSAO;117;R-113 TERMOGRAFIA - EXTRUSORA;4534;P;17/dez/24;17/12/2024 00:02;;;45643,0006
151;LAMINACAO;301;R-115 TERMOGRAFIA - LAMINADORA;4683;R;28/dez/24;28/12/2024 09:00;26/12/2024 00:00;;45654,375
152;LAMINACAO;302;R-115 TERMOGRAFIA - LAMINADORA;4680;P;25/dez/24;25/12/2024 09:00;;;45651,375
153;LAMINACAO;301;INSPECAO PAINEL ELETRICO;4234;R;18/nov/24;18/11/2024 09:00;29/11/2024 00:01;;45614,3333
154;LAMINACAO;302;R-114 INSPECAO PAINEL ELETRICO - LAMINADORA;4235;R;12/nov/24;12/11/2024 00:01;12/11/2024 00:01;;45608
155;EXTRUSAO;112;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;13/fev/25;13/02/2025 00:00;;;45701
156;EXTRUSAO;116;R-137 ANALISE DE VIBRACAO - EXTRUSORA;4241;R;15/nov/24;15/11/2024 12:00;17/12/2024 00:00;;45611,3333
157;EXTRUSAO;113;R-105 LUBRIFICACAO - EXTRUSORA;4845;P;17/jan/25;17/01/2025 10:00;;;45674,4166
158;EXTRUSAO;115;R-105 LUBRIFICACAO - EXTRUSORA;4679;P;24/dez/24;24/12/2024 11:30;;;45650,4791
159;EXTRUSAO;8001;R-101 LIMPEZA FILTROS EXTRUSAO E CS - A;4254;R;25/nov/24;25/11/2024 09:00;25/11/2024 08:30;;45621,3333
160;EXTRUSAO;8001;R-101 TERCA (DESCONTINUADO);4256;R;26/nov/24;26/11/2024 09:00;26/11/2024 09:00;;45622
161;EXTRUSAO;8001;R-101 QUARTA (DESCONTINUADO);4257;R;27/nov/24;27/11/2024 09:00;27/11/2024 08:30;;45623,3333
162;EXTRUSAO;8001;R-101 QUINTA (DESCONTINUADO);4258;R;28/nov/24;28/11/2024 09:00;28/11/2024 00:01;;45624,3333
163;EXTRUSAO;8001;R-101 SEXTA (DESCONTINUADO);4255;R;22/nov/24;22/11/2024 09:00;22/11/2024 00:01;;45618,3333
164;IMPRESSAO;8002;R-102 LIMPEZA FILTROS CONVERSAO - A;4259;R;25/nov/24;25/11/2024 09:00;25/11/2024 00:01;;45621,3333
165;IMPRESSAO;8002;R-102 QUINTA (DESCONTINUADO);4260;R;28/nov/24;28/11/2024 09:00;28/11/2024 00:01;;45624,3333
166;EXTRUSAO;116;INSPECAO MECANICA;4281;R;25/nov/24;25/11/2024 09:00;26/11/2024 08:00;;45621,3333
