sequencia;setor;maquina;manutencao.tipo;OS;situacao;data.prog.inicio;data.prog.fim;data.real.inicio;obs;data
213;EXTRUSAO;116;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;19/mai/25;19/05/2025 00:00;;;45796
214;IMPRESSAO;201;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;02/jun/25;02/06/2025 00:00;;;45810
215;CORTE E SOLDA;416;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;09/jun/25;09/06/2025 00:00;;;45817
216;REBOBINADEIRA;507;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;09/jun/25;09/06/2025 00:00;;;45817
217;CORTE E SOLDA;417;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;26/jun/25;26/06/2025 00:00;;;45834
218;EXTRUSAO;108;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;30/jun/25;30/06/2025 00:00;;;45838
219;CORTE E SOLDA;418;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;16/jun/25;16/06/2025 00:00;;;45824
220;REBOBINADEIRA;508;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;04/ago/25;04/08/2025 00:00;;;45873
221;EXTRUSAO;115;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;18/ago/25;18/08/2025 00:00;;;45887
222;IMPRESSAO;208;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;01/set/25;01/09/2025 00:00;;;45901
223;EXTRUSAO;113;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;27/out/25;27/10/2025 00:00;;;45957
224;REBOBINADEIRA;502;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;22/set/25;22/09/2025 00:00;;;45922
225;EXTRUSAO;118;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;17/mar/25;17/03/2025 00:00;;;45733
226;EXTRUSAO;108;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;17/mar/25;17/03/2025 00:00;;;45733
227;EXTRUSAO;116;R-137 ANALISE DE VIBRACAO - EXTRUSORA;;P;17/mar/25;17/03/2025 00:00;;;45733
228;EXTRUSAO;117;R-112 INSPECAO PAINEL ELETRICO - EXTRUSORA;4632;P;06/jan/25;06/01/2025 00:00;;;45663
229;EXTRUSAO;108;R-136 CALIBRACAO - GRAVIMETRICOS;;P;26/jan/25;26/01/2025 00:00;;;45683
230;EXTRUSAO;8001;R-101 LIMPEZA FILTROS EXTRUSAO E CS - A;4794;P;23/dez/27;23/12/2027 00:00;;;46744
231;EXTRUSAO;8001;R-102 LIMPEZA FILTROS CONVERSAO - B;4793;P;30/dez/24;30/12/2024 00:00;;;45656
232;EXTRUSAO;116;R-136 CALIBRACAO - GRAVIMETRICOS;4781;P;08/jan/25;08/01/2025 00:00;;;45665
233;EXTRUSAO;108;R-113 TERMOGRAFIA - EXTRUSORA;;P;09/fev/25;09/02/2025 00:00;;;45697
234;EXTRUSAO;113;R-136 CALIBRACAO - GRAVIMETRICOS;4959;P;24/fev/25;24/02/2025 00:00;;;45712
235;EXTRUSAO;8001;R-102 LIMPEZA FILTROS CONVERSAO - A;4856;P;06/jan/25;06/01/2025 00:00;;;45663
236;LAMINACAO;301;R-115 TERMOGRAFIA - LAMINADORA;;P;24/fev/25;24/02/2025 00:00;;;45712
237;EXTRUSAO;117;R-138 MANUTENCAO PREVENTIVA ANUAL;4782;P;07/jan/25;07/01/2025 00:00;;;45664
238;EXTRUSAO;8001;R-101 LIMPEZA FILTROS EXTRUSAO E CS - B;;P;30/dez/24;30/12/2024 00:00;;;45656
239;IMPRESSAO;207;R-138 MANUTENCAO PREVENTIVA ANUAL;;P;13/jan/26;13/01/2026 00:00;;;46035
